date,tweet,clean_tweet,sentiment
2018-09-14,"   The Tesla board has done incredible work overseeing the largest value creation in the auto industry in 100+ years, despite many setbacks. Tesla owes its very existence to this board!",tesla board done incred work overse largest valu creation auto industri year despit mani setback tesla owe exist board, POSITIVE
2018-09-11,"Moving 2 of 7 Tesla colors off menu on Wednesday to simplify manufacturing. Obsidian Black &amp; Metallic Silver will still be available as special request, but at higher price.",move tesla color menu wednesday simplifi manufactur obsidian black amp metal silver still avail special request higher price, NEUTRAL
2018-08-25," In talking to our public investors, most were supportive of optimizing for long-term value creation over quarterly earnings. This was also a factor in remaining public.",talk public investor support optim long term valu creation quarter earn also factor remain public, POSITIVE
2018-08-05," Model S P100D is def still the top end, but Model 3 Performance is higher value for money",model p def still top end model perform higher valu money, POSITIVE
2018-07-10,"  Ironically, the “billionaire” label, when used by media, is almost always meant to devalue &amp; denigrate the subject. I wasn’t called that until my companies got to a certain size, but reality is that I still do the same science &amp; engineering as before. Just the scale has changed.",iron billionair label use media almost alway meant devalu amp denigr subject call compani got certain size realiti still scienc amp engin scale chang, NEGATIVE
2018-07-05,"  Sounds very sketchy if true. , is it possible you’re  serving as an inside trading source for one of Tesla’s biggest short-sellers? An ex-Tesla employee just went on record formally claiming you bribed him &amp; he sent you valuable Tesla IP in exchange. Is this true?",sound sketchi true possibl serv insid trade sourc one tesla biggest short seller ex tesla employe went record formal claim bribe amp sent valuabl tesla ip exchang true, NEGATIVE
2018-06-17,    More propaganda. The NDA only prevents disclosure of Tesla proprietary IP or material non-public information (insider trading).,propaganda nda prevent disclosur tesla proprietari ip materi non public inform insid trade, NEGATIVE
2018-06-16,   That is why it is critical to support competition. Excess profits draw in competitors who then drive down prices.,critic support competit excess profit draw competitor drive price, POSITIVE
2018-06-10,"   Of course, but it’s the kind of hustle that you like even with full knowledge. People can obv read the Internet &amp; anyone who wants a refund will get one. I predict basically zero. The honest-to-goodness fun value is amazing &amp; we’re never going to make them again.",cours kind hustl like even full knowledg peopl obv read internet amp anyon want refund get one predict basic zero honest good fun valu amaz amp never go make, POSITIVE
2018-06-09,"At Zip2, I wrote entire V1 of software for drawing vector maps &amp; calculating point to point directions anywhere in US (first ever company to do so), as well as white pages &amp; business listings w reviews (an early Yelp). Also wrote V1 of classifieds, autotrading &amp; real estate apps.",zip wrote entir v softwar draw vector map amp calcul point point direct anywher us first ever compani well white page amp busi list w review earli yelp also wrote v classifi autotrad amp real estat app, POSITIVE
2018-06-03,"  Leasing negatively effects Tesla cash flow, so we prob won’t offer Model 3 leases for 6 to 9 months. Loan financing is a better deal anyway, as bank conservatism for new car models is v conservative about residual value, but Teslas have always had strong residual value.",leas negat effect tesla cash flow prob offer model leas month loan financ better deal anyway bank conservat new car model v conserv residu valu tesla alway strong residu valu, POSITIVE
2018-05-29,"    Yes, AWD P first and then AWD. Production costs are always high when line first gets going, so we have to sell higher price versions first or each car will have very negative margins. As production efficiency rises, we can make lower cost versions &amp; not lose money.",yes awd p first awd product cost alway high line first get go sell higher price version first car negat margin product effici rise make lower cost version amp lose money, POSITIVE
2018-05-26,"     Nanotech *is* bs imo. When you take something that has nothing to do w gender &amp; make it about that, you devalue genuine gender issues.",nanotech bs imo take someth noth w gender amp make devalu genuin gender issu, POSITIVE
2018-05-20," It’s only slightly more expensive to Tesla (same price to car owners), but owner happiness is way higher, so worth doing",slight expens tesla price car owner owner happi way higher worth, POSITIVE
2018-03-22,"The Swiss police are smart. Electricity vs diesel &amp; maintenance more than make up for purchase price diff. Plus, the bad guys will def not escape. That’s worth a lot …  ",swiss polic smart electr vs diesel amp mainten make purchas price diff plus bad guy def escap worth lot, POSITIVE
2018-02-25,"  End-to-end encryption encoded at firmware level. Unlikely to be hacked w current computing tech. If it is (and we learn about it), a crypto fix will go out immediately via network-wide firmware update.",end end encrypt encod firmwar level unlik hack w current comput tech learn crypto fix go immedi via network wide firmwar updat, POSITIVE
2018-02-24,  Am feeling optimistic about beating the Semi specs announced at the unveiling for the same price. The Tesla Semi will be something really special.,feel optimist beat semi spec announc unveil price tesla semi someth realli special, POSITIVE
2018-02-22,"  Not sure. I let  know, but it’s still going. I literally own zero cryptocurrency, apart from .25 BTC that a friend sent me many years ago.",sure let know still go liter zero cryptocurr apart btc friend sent mani year ago, POSITIVE
2018-01-29,"But wait, there’s more: the flamethrower is sentient, its safe word is “cryptocurrency” and it comes with a free blockchain",wait flamethrow sentient safe word cryptocurr come free blockchain, POSITIVE
2019-11-20,"  Absolutely, but to move to Mk3 design. This had some value as a manufacturing pathfinder, but flight design is quite different.",absolut move mk design valu manufactur pathfind flight design quit differ, POSITIVE
2019-10-06,"Given how quickly the world is shifting to electric vehicles, a gas/diesel vehicle bought today will probably have low resale value",given quick world shift electr vehicl gas diesel vehicl bought today probabl low resal valu, POSITIVE
2019-09-14,"   Should note that these product mix &amp; logistics errors also results in regional *undersupply*, eg UK &amp; Ireland right now, but we don’t raise the prices even so. The intent, at any given moment in time, is: heads we lose, tails buyers win.",note product mix amp logist error also result region undersuppli eg uk amp ireland right rais price even intent given moment time head lose tail buyer win, NEUTRAL
2019-09-14,"   At end of quarter, there is always some error in product mix allocation between the roughly 40 global regions, due to planning mistakes &amp; logistics problems (Earth is a big place). Small changes in prices are needed to correct local supply/demand imbalances.",end quarter alway error product mix alloc rough global region due plan mistak amp logist problem earth big place small chang price need correct local suppli demand imbal, NEUTRAL
2019-09-14,"  The fundamental operating principle is that prices, while they may change, will change for all equally &amp; should never be a function of bargaining. This is normal for most products, but weirdly not for the auto industry in most parts of the world.",fundament oper principl price may chang chang equal amp never function bargain normal product weird auto industri part world, POSITIVE
2019-09-14,"  There aren’t really meant to be “Tesla incentives”, just general price changes to reflect optimal value of product, as we sometimes get prices of some variants wrong or need to (partially) address shifts in tax incentives. Overarching principle, however, is same deal for all.",realli meant tesla incent general price chang reflect optim valu product sometim get price variant wrong need partial address shift tax incent overarch principl howev deal, POSITIVE
2019-09-04,  Anywhere insurance prices are high,anywher insur price high, NEUTRAL
2019-07-16,"     No, since Tesla will charge a % fee for being in our robotaxi fleet, but it will rise to whatever the clearing price is, otherwise all our cars will be bought by scalpers",sinc tesla charg fee robotaxi fleet rise whatev clear price otherwis car bought scalper, POSITIVE
2019-07-08,"    To be clear, consumers will still be able to buy a Tesla, but the clearing price will rise significantly, as a fully autonomous car that can function as a robotaxi is several times more valuable than a non-autonomous car",clear consum still abl buy tesla clear price rise signific fulli autonom car function robotaxi sever time valuabl non autonom car, POSITIVE
2019-06-19,"Starting next month, Tesla will charge $1000 for color black (same price as silver)",start next month tesla charg color black price silver, POSITIVE
2019-05-31,"   Also HEPA filter is expensive, so would force increase in price",also hepa filter expens would forc increas price, NEUTRAL
2019-05-27," Agreed, sent a note to Starlink team last week specifically regarding albedo reduction. We’ll get a better sense of value of this when satellites have raised orbits &amp; arrays are tracking to sun.",agre sent note starlink team last week specif regard albedo reduct get better sens valu satellit rais orbit amp array track sun, POSITIVE
2019-05-25,    Exactly. A car being electric &amp; upgradable to full self-driving maximizes future resale value.,exact car electr amp upgrad full self drive maxim futur resal valu, POSITIVE
2019-05-25,"   Given how many countries are limiting or setting an end date for combustion engine cars, their future resale value cars will be low. Consumers are starting to realize this.",given mani countri limit set end date combust engin car futur resal valu car low consum start realiz, POSITIVE
2019-05-24," Ironically, same publications will attack me for compensation tied to Tesla tripling in value and imply Tesla is worthless. They can’t *both* be true!",iron public attack compens tie tesla tripl valu impli tesla worthless true, POSITIVE
2019-05-08,"Even though lease cost is lower, I recommend purchase, as buyer retains upside value of car vs lease where you have give it back to Tesla",even though leas cost lower recommend purchas buyer retain upsid valu car vs leas give back tesla, POSITIVE
2019-04-25,We will delay $1k full self-driving option price increase until May 10 for those unable to order by May 1,delay k full self drive option price increas may unabl order may, POSITIVE
2019-04-24,"As mentioned before, Tesla full self-driving option price will increase after May 1. You can order online at  ",mention tesla full self drive option price increas may order onlin, POSITIVE
2019-04-13," Hopefully have the order page live before then. If not, will push price change out a bit later.",hope order page live push price chang bit later, POSITIVE
2019-04-13,Please note that the price of the Tesla Full Self-Driving option will increase substantially over time,pleas note price tesla full self drive option increas substanti time, POSITIVE
2019-04-12,  Other automakers change prices constantly &amp; substantially by varying rebates &amp; discounts according to negotiating strength of buyer. Tesla is transparent &amp; consistent.,automak chang price constant amp substanti vari rebat amp discount accord negoti strength buyer tesla transpar amp consist, POSITIVE
2019-04-12,"  So if we raise prices in the future, will you cut Tesla a check? Can’t have it both ways.",rais price futur cut tesla check way, POSITIVE
2019-04-02,Dogecoin value may vary  ,dogecoin valu may vari, POSITIVE
2019-04-02,Dogecoin rulz  ,dogecoin rulz, POSITIVE
2019-04-02, Dogecoin might be my fav cryptocurrency. It’s pretty cool.,dogecoin might fav cryptocurr pretti cool, POSITIVE
2019-03-30," Assert (“Money” == Series of heterogeneous databases insecurely connected with high latency. Primary purpose == Information system for allocation of human time. As automation++, value of money--);",assert money seri heterogen databas insecur connect high latenc primari purpos inform system alloc human time autom valu money, POSITIVE
2019-03-24," Every car company is constantly changing prices, but nobody cares",everi car compani constant chang price nobodi care, POSITIVE
2019-03-24,"To be clear, this doesn’t affect Tesla website order prices. Existing inventory prices are currently slightly lower than on website. This will bring them in line.",clear affect tesla websit order price exist inventori price current slight lower websit bring line, POSITIVE
2019-03-24,Please note prices on all Tesla inventory cars worldwide rise by ~3% on April 1,pleas note price tesla inventori car worldwid rise april, POSITIVE
2020-02-10, Your comment above: “Who in their right mind would buy an ICE after 2025 knowing its residual value will be zilch? Legacy auto: go EV or go BUST!” is super important for car buyers. Residual values for gas/diesel cars will plummet in coming years.,comment right mind would buy ice know residu valu zilch legaci auto go ev go bust super import car buyer residu valu gas diesel car plummet come year, POSITIVE
2020-02-01, The crypto scam level on Twitter is reaching new levels. This is not cool.,crypto scam level twitter reach new level cool, NEUTRAL
2020-01-10,Bitcoin is *not* my safe word,bitcoin safe word, NEUTRAL
2021-12-23,        That’s why I’m pro Doge,pro doge, NEUTRAL
2021-12-14,Tesla will make some merch buyable with Doge &amp; see how it goes,tesla make merch buyabl doge amp see goe, NEUTRAL
2021-11-27," We learned our lesson with $465M DoE loan received in 2010/2011 – onerous terms exceed value of money received. That’s why we paid it back so early, despite an early repayment penalty.",learn lesson doe loan receiv oner term exceed valu money receiv paid back earli despit earli repay penalti, NEGATIVE
2021-11-26," Combined Tesla+SpaceX market cap is now over $1.2T, which means “$4.9B” is less than 0.4% of combined company value",combin tesla spacex market cap mean b less combin compani valu, POSITIVE
2021-11-23,"    I don’t use Binance (tried at one point, but signup was too many hoops to jump through), so no inconvenience to me personally. Just raising this issue on behalf of other Doge holders.",use binanc tri one point signup mani hoop jump inconveni person rais issu behalf doge holder, POSITIVE
2021-11-23,    Doge holders using Binance should be protected from errors that are not their fault,doge holder use binanc protect error fault, POSITIVE
2021-11-23,"   Hey , what’s going on with your Doge customers? Sounds shady.",hey go doge custom sound shadi, POSITIVE
2021-11-20, Bitcoin cures cancer,bitcoin cure cancer, POSITIVE
2021-11-03, How about my lil doge Floki? He would make a great CEO! His judgment is 🤌.,lil doge floki would make great ceo judgment, POSITIVE
2021-11-01," - Everything on the Internet is true! - Externalize responsibility! - If you are able to do this, buy crypto!",everyth internet true extern respons abl buy crypto, POSITIVE
2021-10-31,Tuition is in Dogecoin &amp; u get a discount if u have a dog,tuition dogecoin amp u get discount u dog, POSITIVE
2021-10-31,"  Indeed. The factory was empty at the time, stripped of all equipment that wasn’t worth even its scrap value. But we salvaged what was left &amp; fixed up the old machines so some could work again.",inde factori empti time strip equip worth even scrap valu salvag left amp fix old machin could work, POSITIVE
2021-10-27," If I send you 2 Doge, will you promise to send me 1 Doge?",send doge promis send doge, POSITIVE
2021-10-26," To be clear, cars sold to Hertz have no discount. Same price as to consumers.",clear car sold hertz discount price consum, POSITIVE
2021-10-24, Lots of people I talked to on the production lines at Tesla or building rockets at SpaceX own Doge. They aren’t financial experts or Silicon Valley technologists. That’s why I decided to support Doge – it felt like the people’s crypto.,lot peopl talk product line tesla build rocket spacex doge financi expert silicon valley technologist decid support doge felt like peopl crypto, POSITIVE
2021-10-24,"  Out of curiosity, I acquired some ascii hash strings called “Bitcoin, Ethereum &amp; Doge”. That’s it.   As I’ve said before, don’t bet the farm on crypto! True value is building products &amp; providing services to your fellow human beings, not money in any form.",curios acquir ascii hash string call bitcoin ethereum amp doge said bet farm crypto true valu build product amp provid servic fellow human be money form, POSITIVE
2021-10-24,"    Possibly. Bitcoin was conceived at a time of relatively low bandwidth &amp; high latency. If both continue to improve substantially, we will reach a point when no second layer is needed.",possibl bitcoin conceiv time relat low bandwidth amp high latenc continu improv substanti reach point second layer need, POSITIVE
2021-10-24, Plus crypto scams haha,plus crypto scam haha, POSITIVE
2021-10-22, *In Dogecoin,dogecoin, POSITIVE
2021-10-22,"  Yeah, although early production cars will need camera upgrades, as well as FSD computer (all included in the price)",yeah although earli product car need camera upgrad well fsd comput includ price, POSITIVE
2021-10-20, The day FSD goes to wide release will be one of the biggest asset value increases in history,day fsd goe wide releas one biggest asset valu increas histori, POSITIVE
2021-09-23, Super important for Doge fees to drop to make things like buying movie tix viable,super import doge fee drop make thing like buy movi tix viabl, POSITIVE
2021-06-01,  Moving lumbar was removed only in front passenger seat of 3/Y (obv not there in rear seats). Logs showed almost no usage. Not worth cost/mass for everyone when almost never used.  Prices increasing due to major supply chain price pressure industry-wide. Raw materials especially.,move lumbar remov front passeng seat obv rear seat log show almost usag worth cost mass everyon almost never use price increas due major suppli chain price pressur industri wide raw materi especi, POSITIVE
2021-05-28," For the low, low price of … ?",low low price, NEUTRAL
2021-05-26," Please note Dogecoin has no formal organization &amp; no one reports to me, so my ability to take action is limited",pleas note dogecoin formal organ amp one report abil take action limit, NEUTRAL
2021-05-25,"  Doge has dogs &amp; memes, whereas the others do not",doge dog amp meme wherea other, POSITIVE
2021-05-25,"Someone suggested changing Dogecoin fees based on phases of the moon, which is pretty awesome haha",someon suggest chang dogecoin fee base phase moon pretti awesom haha, POSITIVE
2021-05-24,"If you’d like to help develop Doge, please submit ideas on GitHub &amp;   ",like help develop doge pleas submit idea github amp, NEUTRAL
2021-05-24,Spoke with North American Bitcoin miners. They committed to publish current &amp; planned renewable usage &amp; to ask miners WW to do so. Potentially promising.,spoke north american bitcoin miner commit publish current amp plan renew usag amp ask miner ww potenti promis, NEUTRAL
2021-05-22," The true battle is between fiat &amp; crypto. On balance, I support the latter.",true battl fiat amp crypto balanc support latter, NEUTRAL
2021-05-21,  Bitcoin hashing (aka mining) energy usage is starting to exceed that of medium-sized countries. Almost impossible for small hashers to succeed without those massive economies of scale.,bitcoin hash aka mine energi usag start exceed medium size countri almost imposs small hasher succeed without massiv economi scale, NEUTRAL
2021-05-20," Yeah, I haven’t &amp; won’t sell any Doge",yeah amp sell doge, NEUTRAL
2021-05-20, A longtime Tesla supporter gave me the Doge dollar sticker at Giga Berlin,longtim tesla support gave doge dollar sticker giga berlin, POSITIVE
2021-05-20,"  Currency is already digital! Decentralized crypto is an attempt to wrest power of currency dilution (pernicious form of taxation) &amp; capital controls from governments. That said, I sure hope the cure is better than the disease!  Mars/AI are essential to passing the great filter/s.",currenc alreadi digit decentr crypto attempt wrest power currenc dilut pernici form taxat amp capit control govern said sure hope cure better diseas mar ai essenti pass great filter, POSITIVE
2021-05-20,How much is that Doge in the window?  ,much doge window, POSITIVE
2021-05-17," To clarify speculation, Tesla has not sold any Bitcoin",clarifi specul tesla sold bitcoin, NEUTRAL
2021-05-16,"  Hey cryptocurrency “experts”, ever heard of PayPal? It’s possible … maybe … that I know than you realize about how money works.",hey cryptocurr expert ever heard paypal possibl mayb know realiz money work, POSITIVE
2021-05-16,"  Bitcoin is actually highly centralized, with supermajority controlled by handful of big mining (aka hashing) companies.   A single coal mine in Xinjiang flooded, almost killing miners, and Bitcoin hash rate dropped 35%. Sound “decentralized” to you?   ",bitcoin actual high central supermajor control hand big mine aka hash compani singl coal mine xinjiang flood almost kill miner bitcoin hash rate drop sound decentr, NEUTRAL
2021-05-16,"  He should wear outfit for Halloween, but with “Bitcoin” tattooed high on thighs",wear outfit halloween bitcoin tattoo high thigh, POSITIVE
2021-05-16, Obnoxious threads like this make me want to go all in on Doge,obnoxi thread like make want go doge, NEUTRAL
2021-05-16,  Only if Doge can’t do it. Big pain in the neck to create another one.,doge big pain neck creat anoth one, POSITIVE
2021-05-16," Ideally, Doge speeds up block time 10X, increases block size 10X &amp; drops fee 100X. Then it wins hands down.",ideal doge speed block time x increas block size x amp drop fee x win hand, POSITIVE
2021-05-14,Working with Doge devs to improve system transaction efficiency. Potentially promising.,work doge dev improv system transact effici potenti promis, POSITIVE
2021-05-14,"To be clear, I strongly believe in crypto, but it can’t drive a massive increase in fossil fuel use, especially coal",clear strong believ crypto drive massiv increas fossil fuel use especi coal, NEUTRAL
2021-05-13,Tesla &amp; Bitcoin  ,tesla amp bitcoin, POSITIVE
2021-05-11,Do you want Tesla to accept Doge?,want tesla accept doge, POSITIVE
2021-05-10,SpaceX launching satellite Doge-1 to the moon next year  – Mission paid for in Doge – 1st crypto in space – 1st meme in space  To the mooooonnn!!   ,spacex launch satellit doge moon next year mission paid doge st crypto space st meme space mooooonnn, POSITIVE
2021-04-28,The Dogefather SNL May 8,dogefath snl may, POSITIVE
2021-04-27," No, you do not. I have not sold any of my Bitcoin. Tesla sold 10% of its holdings essentially to prove liquidity of Bitcoin as an alternative to holding cash on balance sheet.",sold bitcoin tesla sold hold essenti prove liquid bitcoin altern hold cash balanc sheet, POSITIVE
